,Technology,Test_type,Data Speed(Mbps),Signal_strength
3972,3G,Download,6.88,-71
3973,3G,Download,0.26,-71
3974,3G,Download,4.44,-81
3975,3G,Download,4.34,-67
3976,3G,Download,1.7,-67
3977,3G,Download,6.53,-75
3978,3G,Download,0.56,-73
3979,3G,Download,2.71,-73
3980,3G,Download,7.14,-77
3986,3G,Download,2.3,-57
3987,3G,Upload,1.33,-75
3988,3G,Upload,0.4,-67
3989,3G,Upload,1.34,-73
3990,3G,Upload,0.54,-71
3991,3G,Upload,0.76,-81
3992,3G,Upload,2.85,-67
3993,3G,Upload,0.11,-67
3994,3G,Upload,1.97,-75
3995,3G,Upload,0.53,-73
3996,3G,Upload,2.54,-73
3997,3G,Upload,3.13,-77
4003,3G,Upload,3.05,-57
4068,3G,Download,0.31,-87
4069,3G,Download,0.15,-95
4089,3G,Upload,0.91,-89
4090,3G,Upload,4.28,-94
4136,3G,Download,0.17,-67
4153,3G,Upload,0.42,-65
4231,3G,Download,0.6,-73
4232,3G,Download,0.48,-71
4233,3G,Download,0.68,-71
4234,3G,Download,0.65,-69
4235,3G,Download,0.38,-69
4236,3G,Download,0.46,-69
4237,3G,Download,0.56,-69
4238,3G,Download,1.36,-73
4239,3G,Download,1.59,-71
4240,3G,Download,0.52,-69
4241,3G,Upload,0.9,-75
4242,3G,Upload,0.44,-71
4243,3G,Upload,1.02,-75
4244,3G,Upload,1.04,-69
4245,3G,Upload,0.08,-75
4246,3G,Upload,0.11,-69
4247,3G,Upload,0.07,-71
4248,3G,Upload,0.1,-85
4249,3G,Upload,0.04,-77
4250,3G,Upload,0.08,-71
4253,3G,Download,0.98,-105
4254,3G,Download,3.98,-95
4255,3G,Download,6.12,-95
4256,3G,Download,1.38,-97
4257,3G,Download,3.11,-89
4258,3G,Download,2.33,-97
4259,3G,Download,1.42,-97
4260,3G,Download,0.12,-91
4261,3G,Download,0.43,-87
4262,3G,Download,0.4,-97
4263,3G,Download,0.85,-99
4264,3G,Download,1.63,-101
4265,3G,Download,1.25,-97
4266,3G,Download,1.41,-95
4267,3G,Download,1.43,-97
4268,3G,Download,2.58,-89
4269,3G,Download,3.43,-85
4270,3G,Download,0.78,-101
4271,3G,Download,0.52,-101
4272,3G,Download,1.45,-93
4273,3G,Upload,0.13,-103
4274,3G,Upload,1.66,-95
4275,3G,Upload,3.05,-95
4276,3G,Upload,1.09,-97
4277,3G,Upload,2.15,-93
4278,3G,Upload,2.64,-91
4279,3G,Upload,1.27,-99
4280,3G,Upload,1.1,-81
4281,3G,Upload,1.2,-85
4282,3G,Upload,0.54,-97
4283,3G,Upload,2.02,-93
4284,3G,Upload,1.4,-97
4285,3G,Upload,0.66,-99
4286,3G,Upload,0.52,-97
4287,3G,Upload,1.24,-97
4288,3G,Upload,2.96,-89
4289,3G,Upload,1.95,-95
4290,3G,Upload,1.12,-105
4291,3G,Upload,0.59,-97
4292,3G,Upload,2.28,-93
4314,3G,Download,2.35,-81
4315,3G,Download,1.47,-79
4316,3G,Download,3.46,-79
4317,3G,Download,2.35,-89
4318,3G,Download,3.48,-89
4319,3G,Download,4.1,-73
4320,3G,Download,0.31,-95
4321,3G,Download,0.52,-103
4322,3G,Upload,1.8,-85
4323,3G,Upload,1.67,-83
4324,3G,Upload,0.87,-85
4325,3G,Upload,1.81,-83
4326,3G,Upload,1.82,-83
4327,3G,Upload,1.8,-89
4328,3G,Upload,0.09,-93
4329,3G,Upload,0.36,-99
4515,3G,Download,1.21,-83
4516,3G,Download,5.0,-81
4517,3G,Upload,0.19,-83
4518,3G,Upload,0.18,-81
4533,3G,Download,0.36,-77
4534,3G,Upload,0.1,-77
4582,3G,Download,6.27,-75
4583,3G,Download,5.79,-77
4586,3G,Download,1.56,-67
4587,3G,Download,0.45,-59
4588,3G,Download,0.73,-59
4591,3G,Download,1.37,-95
4594,3G,Download,0.3,-67
4595,3G,Download,0.15,-81
4596,3G,Download,0.89,-83
4603,3G,Download,2.46,-67
4605,3G,Download,0.6,-87
4621,3G,Download,0.14,-61
4624,3G,Download,3.03,-75
