,Technology,Test_type,Data Speed(Mbps),Signal_strength
817230,3G,Download,1.12,-73
817231,3G,Upload,4.01,-87
817232,3G,Upload,1.65,-73
817237,3G,Download,0.93,-97
817295,3G,Download,5.72,-91
817296,3G,Upload,1.51,-91
817304,3G,Download,5.82,-63
817307,3G,Download,6.33,-69
817308,3G,Download,5.54,-73
817328,3G,Download,2.58,-91
817329,3G,Download,1.46,-91
817372,3G,Download,2.17,-85
817375,3G,Download,0.93,-97
817382,3G,Upload,1.54,-97
817385,3G,Upload,0.58,-97
817465,3G,Download,4.19,-75
817466,3G,Download,4.76,-81
817467,3G,Download,5.78,-81
817468,3G,Download,5.93,-83
817469,3G,Upload,1.17,-75
817470,3G,Upload,1.22,-81
817471,3G,Upload,0.98,-79
817472,3G,Upload,1.28,-79
817491,3G,Download,0.45,-107
817502,3G,Download,4.31,-55
817504,3G,Upload,0.45,-55
817520,3G,Download,3.61,-95
817521,3G,Download,2.64,-81
817522,3G,Upload,1.43,-95
817523,3G,Upload,1.4,-81
817529,3G,Download,1.6,-99
817530,3G,Download,1.07,-107
817531,3G,Download,0.93,-103
817540,3G,Download,0.3,-85
817545,3G,Download,4.65,-75
817563,3G,Download,0.62,-85
817566,3G,Upload,0.36,-105
817567,3G,Upload,0.16,-101
817568,3G,Upload,0.41,-107
817577,3G,Upload,0.0,-91
817578,3G,Upload,0.14,-111
817582,3G,Upload,1.92,-75
817600,3G,Upload,0.9,-93
817612,3G,Download,0.35,-91
817680,3G,Download,0.05,-79
817681,3G,Upload,0.35,-79
817715,3G,Download,0.12,-95
817718,3G,Upload,0.4,-95
817736,3G,Download,8.4,-83
817737,3G,Download,1.12,-81
817738,3G,Download,6.89,-77
817778,3G,Upload,4.01,-83
817779,3G,Upload,1.62,-75
817780,3G,Upload,1.35,-71
817842,3G,Download,0.06,-59
817843,3G,Download,3.84,-69
817848,3G,Upload,1.5,-61
817849,3G,Upload,1.18,-57
817995,3G,Download,0.09,-73
817996,3G,Download,0.0,-85
817997,3G,Download,0.96,-85
818011,3G,Upload,1.0,-85
818012,3G,Upload,0.46,-73
818013,3G,Upload,0.18,-85
818087,3G,Download,0.87,-91
818097,3G,Upload,0.07,-91
818100,3G,Upload,0.21,-101
818158,3G,Upload,3.13,-73
818451,3G,Download,0.51,-85
818452,3G,Download,0.72,-93
818453,3G,Download,0.89,-93
818454,3G,Download,0.23,-93
818455,3G,Download,0.38,-93
818456,3G,Download,0.37,-85
818457,3G,Download,0.34,-93
818458,3G,Upload,0.03,-85
818459,3G,Upload,0.03,-93
818460,3G,Upload,0.03,-93
818461,3G,Upload,0.03,-93
818462,3G,Upload,0.01,-93
818463,3G,Upload,0.04,-85
818464,3G,Upload,0.01,-93
818552,3G,Download,2.06,-103
818553,3G,Download,1.23,-105
818554,3G,Download,0.43,-107
818555,3G,Download,0.47,-103
818556,3G,Download,0.95,-103
818557,3G,Download,1.74,-101
818558,3G,Download,7.52,-91
818603,3G,Upload,4.81,-65
818673,3G,Download,2.65,-91
818674,3G,Upload,1.25,-91
818704,3G,Download,12.6,-57
818789,3G,Upload,1.55,na
818837,3G,Download,0.12,-91
818838,3G,Download,1.0,-83
818839,3G,Download,0.11,-71
818840,3G,Download,0.09,-83
818841,3G,Download,0.3,-69
818845,3G,Upload,0.96,-79
818846,3G,Upload,0.85,-81
818847,3G,Upload,1.21,-73
818848,3G,Upload,1.31,-83
818849,3G,Upload,4.56,-71
819025,3G,Download,0.58,-63
819026,3G,Download,0.65,-77
819046,3G,Upload,1.05,-71
819047,3G,Upload,0.35,-71
819076,3G,Download,2.65,-87
819077,3G,Download,0.98,-91
819078,3G,Upload,1.0,-87
819079,3G,Upload,0.46,-91
819087,3G,Download,0.66,-81
819151,3G,Download,4.01,-97
819152,3G,Download,5.66,-93
819153,3G,Download,2.03,-99
819154,3G,Download,3.91,-95
819155,3G,Upload,1.88,-95
819156,3G,Upload,0.32,-99
819157,3G,Upload,1.72,-97
819158,3G,Upload,1.17,-97
819249,3G,Download,0.37,-75
819250,3G,Upload,1.28,-73
819260,3G,Upload,0.73,-103
819352,3G,Download,0.07,-91
819353,3G,Upload,0.44,-87
819404,3G,Download,1.6,-87
819405,3G,Download,0.29,-91
819406,3G,Download,0.52,-81
819407,3G,Upload,0.96,-87
819408,3G,Upload,0.91,-91
819409,3G,Upload,1.24,-81
819438,3G,Download,0.0,-91
819439,3G,Upload,0.11,-91
819560,3G,Download,0.23,-93
819561,3G,Download,1.95,-81
819563,3G,Upload,0.06,-93
819564,3G,Upload,1.09,-81
819596,3G,Download,0.62,-105
819655,3G,Download,0.35,-81
819678,3G,Download,0.04,-103
819679,3G,Download,4.0,-87
819686,3G,Download,0.3,-67
819687,3G,Download,7.74,-69
819704,3G,Download,0.9,-75
819705,3G,Download,0.89,-83
819709,3G,Download,3.43,-63
819710,3G,Download,3.95,-55
819767,3G,Download,2.42,-93
819768,3G,Download,3.43,-93
819811,3G,Upload,0.18,-105
819893,3G,Upload,0.0,-95
819894,3G,Upload,1.84,-81
819901,3G,Upload,0.99,-65
819902,3G,Upload,2.04,-71
819919,3G,Upload,1.87,-75
819920,3G,Upload,1.71,-81
819924,3G,Upload,1.47,-67
819925,3G,Upload,1.84,-55
819982,3G,Upload,0.0,-91
820037,3G,Download,2.51,-77
820038,3G,Download,5.34,-91
820040,3G,Download,0.08,-73
820050,3G,Upload,0.09,-79
820051,3G,Upload,2.12,-75
820053,3G,Upload,0.49,-81
820074,3G,Download,1.57,-65
820075,3G,Download,0.84,-73
820076,3G,Download,0.57,-73
820077,3G,Upload,0.31,-67
820078,3G,Upload,1.54,-73
820079,3G,Upload,1.58,-67
820181,3G,Download,0.05,-75
820182,3G,Download,0.36,-75
820183,3G,Upload,2.37,-67
820184,3G,Upload,2.45,-75
820190,3G,Download,0.42,-81
820194,3G,Download,1.21,-75
820198,3G,Upload,1.29,-81
820202,3G,Upload,2.83,-75
820219,3G,Download,2.33,-57
820220,3G,Download,2.53,-71
820221,3G,Download,2.82,-71
820222,3G,Download,1.51,-85
820223,3G,Download,5.64,-71
820224,3G,Download,4.37,-79
820225,3G,Download,0.39,-71
820226,3G,Upload,2.47,na
820227,3G,Upload,2.68,-83
820228,3G,Upload,2.78,-69
820229,3G,Upload,1.03,-83
820230,3G,Upload,2.85,-69
820231,3G,Upload,1.42,-75
820232,3G,Upload,0.52,-71
820289,3G,Upload,6.7,-75
820298,3G,Download,1.42,-79
820299,3G,Download,0.36,-89
820300,3G,Download,0.52,-91
820308,3G,Upload,0.3,-79
820309,3G,Upload,0.44,-89
820310,3G,Upload,0.38,-91
820483,3G,Download,0.78,-83
820484,3G,Download,1.14,-91
820485,3G,Download,1.0,-91
820486,3G,Download,0.27,-105
820487,3G,Upload,0.18,-83
820488,3G,Upload,1.14,-91
820489,3G,Upload,2.37,-91
820490,3G,Upload,0.02,-105
820524,3G,Download,0.46,-83
820900,3G,Download,1.63,-73
820901,3G,Download,11.17,-81
820902,3G,Download,0.13,-79
820903,3G,Download,0.29,-93
820904,3G,Download,0.58,-71
820905,3G,Download,0.13,-79
820906,3G,Upload,1.67,-73
820907,3G,Upload,0.7,-79
820908,3G,Upload,0.3,-67
820909,3G,Upload,0.06,-93
820910,3G,Upload,0.06,-75
820911,3G,Upload,0.27,-79
820997,3G,Upload,1.75,-97
821061,3G,Download,0.46,-93
821062,3G,Upload,0.08,-93
821306,3G,Download,4.99,-79
821307,3G,Download,9.28,-79
821308,3G,Download,12.11,-81
821309,3G,Download,13.3,-57
821310,3G,Download,4.82,-75
821311,3G,Download,0.36,-57
821312,3G,Download,0.51,-57
821313,3G,Download,5.97,-75
821314,3G,Download,4.15,-63
821315,3G,Download,7.15,-69
821316,3G,Download,4.83,-69
821317,3G,Download,5.26,-73
821318,3G,Download,3.04,-67
821319,3G,Download,0.0,-89
821320,3G,Upload,3.8,-79
821321,3G,Upload,3.54,-77
821322,3G,Upload,1.56,-81
821323,3G,Upload,1.78,-57
821324,3G,Upload,1.37,-75
821325,3G,Upload,0.25,-55
821326,3G,Upload,0.0,-79
821327,3G,Upload,3.4,-75
821328,3G,Upload,1.84,-63
821329,3G,Upload,0.01,-69
821330,3G,Upload,2.16,-71
821331,3G,Upload,3.45,-79
821332,3G,Upload,2.75,-81
821333,3G,Upload,1.4,-83
821336,3G,Download,0.36,-85
821339,3G,Download,0.92,-75
821342,3G,Upload,1.39,-85
821345,3G,Upload,1.56,-75
821519,3G,Download,4.62,-93
821520,3G,Download,2.83,-91
821521,3G,Upload,2.07,-97
821522,3G,Upload,1.73,-91
821525,3G,Download,0.82,-93
821526,3G,Upload,0.46,-99
821670,3G,Download,1.44,-89
821671,3G,Download,0.81,-89
821676,3G,Download,0.18,-93
821677,3G,Download,1.79,-91
821678,3G,Download,2.54,-91
821679,3G,Download,0.45,-93
821689,3G,Upload,0.06,-91
821690,3G,Upload,0.3,-89
821695,3G,Upload,0.06,-87
821696,3G,Upload,0.3,-89
821697,3G,Upload,0.25,-91
821698,3G,Upload,0.07,-93
821730,3G,Download,1.86,-75
821731,3G,Download,0.12,-89
821732,3G,Download,1.01,-89
821733,3G,Upload,1.58,-73
821734,3G,Upload,0.2,-93
821735,3G,Upload,0.36,-91
821776,3G,Download,0.27,-89
821777,3G,Upload,0.13,-89
821798,3G,Download,0.09,-83
821799,3G,Download,0.16,-85
821800,3G,Download,0.17,-85
821801,3G,Download,0.23,-65
821802,3G,Download,0.14,-81
821803,3G,Download,2.19,-77
821804,3G,Download,0.16,-83
821805,3G,Download,0.1,-81
821806,3G,Download,1.6,-83
821807,3G,Download,2.6,-75
821808,3G,Download,0.06,-85
821809,3G,Download,1.39,-83
821810,3G,Upload,1.89,-85
821811,3G,Upload,1.76,-83
821812,3G,Upload,1.98,-85
821813,3G,Upload,4.12,-65
821814,3G,Upload,2.0,-81
821815,3G,Upload,0.78,-77
821816,3G,Upload,1.7,-81
821817,3G,Upload,2.93,-81
821818,3G,Upload,0.09,-83
821819,3G,Upload,1.04,-73
821820,3G,Upload,1.36,-85
821821,3G,Upload,1.57,-83
821890,3G,Download,4.95,-73
821891,3G,Download,2.87,-69
821892,3G,Upload,1.98,-73
821893,3G,Upload,1.91,-69
821912,3G,Upload,0.72,-97
821938,3G,Download,3.91,-95
821966,3G,Download,2.4,-97
821968,3G,Download,0.21,-83
821970,3G,Download,7.86,-71
821971,3G,Download,1.83,-79
821972,3G,Download,0.21,-91
821973,3G,Download,6.54,-93
821974,3G,Download,3.84,-103
821975,3G,Download,2.67,-95
821976,3G,Download,2.54,-107
821977,3G,Download,4.14,-101
821978,3G,Download,6.26,-95
821979,3G,Download,1.61,-89
821980,3G,Download,4.14,-81
821981,3G,Download,0.33,-91
821982,3G,Download,2.38,-93
821983,3G,Upload,0.24,-91
821985,3G,Upload,0.97,-83
821987,3G,Upload,1.12,-77
821988,3G,Upload,2.98,-79
821989,3G,Upload,1.57,-99
821990,3G,Upload,2.24,-87
821991,3G,Upload,0.86,-103
821992,3G,Upload,1.26,-95
821993,3G,Upload,0.38,-101
821994,3G,Upload,0.88,-101
821995,3G,Upload,1.83,-95
821996,3G,Upload,0.2,-89
821997,3G,Upload,1.24,-97
821998,3G,Upload,1.96,-91
821999,3G,Upload,1.28,-93
822000,3G,Download,0.09,-87
822001,3G,Download,0.3,-87
822004,3G,Download,0.14,-91
822005,3G,Download,0.53,-67
822006,3G,Download,1.76,-63
822008,3G,Upload,1.69,-87
822009,3G,Upload,0.08,-91
822012,3G,Upload,1.66,-89
822013,3G,Upload,1.96,-67
822014,3G,Upload,2.74,-65
822031,3G,Download,0.4,-73
822057,3G,Download,1.18,-105
822092,3G,Download,1.85,-55
822093,3G,Download,2.79,-61
822196,3G,Upload,0.69,-85
822298,3G,Download,1.98,-69
822320,3G,Download,3.48,-71
822323,3G,Download,2.72,-71
822324,3G,Download,0.71,-71
822325,3G,Download,2.57,-67
822326,3G,Download,1.37,-67
822327,3G,Download,1.05,-65
822328,3G,Download,8.34,-63
822329,3G,Download,0.68,-81
822350,3G,Download,6.08,-71
822360,3G,Upload,3.23,-69
822380,3G,Upload,3.32,-71
822383,3G,Upload,3.69,-71
822384,3G,Upload,2.98,-71
822385,3G,Upload,1.58,-67
822386,3G,Upload,0.87,-65
822387,3G,Upload,1.65,-69
822388,3G,Upload,4.01,-59
822389,3G,Upload,0.86,-75
822410,3G,Upload,2.84,-71
822427,3G,Upload,0.0,-67
822571,3G,Download,0.01,-91
822572,3G,Download,0.25,-97
822684,3G,Download,6.33,-69
822690,3G,Download,2.95,-67
822697,3G,Download,0.29,-75
822702,3G,Download,0.25,-97
822703,3G,Download,3.37,-85
822706,3G,Download,0.51,-117
822707,3G,Download,0.5,-99
822713,3G,Download,1.44,-95
822720,3G,Upload,3.39,-63
822726,3G,Upload,0.98,-63
822733,3G,Upload,0.01,-71
822738,3G,Upload,0.34,-97
822739,3G,Upload,2.18,-87
822742,3G,Upload,0.06,-105
822749,3G,Upload,0.07,-89
822813,3G,Upload,3.74,-69
822814,3G,Upload,4.1,-63
822997,3G,Download,0.78,-77
823001,3G,Upload,0.34,-79
823009,3G,Download,0.45,-99
823010,3G,Upload,0.38,-97
823017,3G,Download,1.28,-91
823018,3G,Upload,0.69,-91
823020,3G,Download,0.79,-91
823022,3G,Upload,1.49,-91
823066,3G,Download,8.8,-63
823068,3G,Upload,1.99,-63
823076,3G,Upload,0.1,-81
823101,3G,Download,0.04,-85
823122,3G,Upload,0.34,-85
823167,3G,Download,1.42,-97
823172,3G,Download,3.24,-85
823173,3G,Download,0.0,-91
823175,3G,Download,1.59,-85
823176,3G,Download,3.81,-85
823177,3G,Download,1.85,-85
823178,3G,Download,1.32,-97
823179,3G,Download,2.86,-85
823180,3G,Download,1.08,-91
823181,3G,Download,3.3,-91
823184,3G,Upload,0.15,-91
823189,3G,Upload,0.84,-85
823190,3G,Upload,1.1,-91
823192,3G,Upload,1.25,-85
823193,3G,Upload,0.64,-85
823194,3G,Upload,1.2,-85
823195,3G,Upload,1.27,-85
823196,3G,Upload,1.13,-85
823197,3G,Upload,1.06,-85
823198,3G,Upload,0.02,-85
823199,3G,Download,2.0,-85
823200,3G,Download,7.85,-73
823202,3G,Upload,1.02,-85
823203,3G,Upload,1.91,-73
823224,3G,Upload,0.66,-103
823225,3G,Upload,1.51,-101
823226,3G,Upload,1.82,-99
823227,3G,Upload,0.74,na
823228,3G,Upload,3.5,-57
823229,3G,Upload,0.14,-113
823231,3G,Upload,0.0,-103
823232,3G,Upload,2.59,-115
823235,3G,Upload,1.54,-99
823236,3G,Upload,0.15,-99
823238,3G,Upload,1.21,-107
823243,3G,Upload,1.86,-73
823244,3G,Upload,10.18,-90
823248,3G,Upload,1.05,-105
823249,3G,Upload,1.18,-97
823250,3G,Upload,0.47,-97
823365,3G,Download,0.69,-95
823366,3G,Upload,0.09,-93
823373,3G,Download,0.87,-75
823378,3G,Download,0.44,-65
823380,3G,Download,5.6,-57
823381,3G,Download,0.86,-63
823382,3G,Upload,1.7,-65
823384,3G,Upload,3.88,-57
823385,3G,Upload,4.12,-63
823401,3G,Upload,1.31,-99
823402,3G,Upload,1.44,-93
823526,3G,Download,0.21,-75
823528,3G,Upload,2.13,-75
823578,3G,Download,3.91,-73
823579,3G,Download,3.34,-101
823580,3G,Upload,3.37,-73
823581,3G,Upload,0.3,-101
823595,3G,Download,0.43,na
823596,3G,Download,6.78,na
823603,3G,Upload,0.94,na
823604,3G,Upload,1.53,na
823627,3G,Download,0.29,-67
823628,3G,Upload,1.49,-67
823635,3G,Download,0.23,-101
823636,3G,Upload,0.0,-101
823786,3G,Download,0.13,-85
823787,3G,Upload,1.09,-85
823792,3G,Download,1.55,-97
823793,3G,Upload,0.45,-97
823798,3G,Download,2.19,-73
823799,3G,Download,1.21,-61
823800,3G,Download,0.58,-61
823804,3G,Download,1.28,-93
823852,3G,Download,0.22,-89
823853,3G,Download,0.51,-91
823854,3G,Download,0.97,-83
823855,3G,Download,1.87,-71
823856,3G,Upload,0.8,-89
823857,3G,Upload,1.39,-85
823858,3G,Upload,0.43,-89
823859,3G,Upload,1.36,-69
823973,3G,Download,0.27,-77
823974,3G,Download,0.25,-73
823975,3G,Upload,1.52,-71
823976,3G,Upload,1.53,-73
824102,3G,Download,0.37,-97
824103,3G,Download,0.71,-97
824104,3G,Download,0.51,-91
824105,3G,Upload,1.2,-97
824106,3G,Upload,1.58,-97
824107,3G,Upload,1.76,-91
824110,3G,Download,3.17,-87
824111,3G,Download,0.11,-91
824112,3G,Download,0.15,-105
824113,3G,Download,0.03,-101
824116,3G,Upload,0.0,-87
824117,3G,Upload,0.91,-95
824118,3G,Upload,0.12,-95
824119,3G,Upload,0.42,-93
824452,3G,Download,0.47,-87
824690,3G,Download,3.11,-73
824691,3G,Upload,3.83,-73
824734,3G,Download,0.9,-93
824735,3G,Download,0.33,-91
824736,3G,Upload,0.27,-93
824737,3G,Upload,0.28,-93
824777,3G,Download,0.3,-93
824780,3G,Download,0.36,-97
824793,3G,Upload,0.0,-95
824796,3G,Upload,0.06,-101
824923,3G,Download,1.29,-93
824924,3G,Upload,0.86,-89
824954,3G,Download,0.65,-99
824978,3G,Download,0.24,-91
824995,3G,Download,0.77,-91
825030,3G,Download,5.95,-93
825080,3G,Download,1.26,-77
825081,3G,Download,0.77,-85
825082,3G,Upload,1.62,-81
825083,3G,Upload,1.12,-85
825120,3G,Download,0.09,-89
825121,3G,Download,1.18,-89
825122,3G,Upload,0.01,-89
825126,3G,Download,1.95,-87
825127,3G,Download,2.76,-81
825128,3G,Download,3.38,-97
825129,3G,Download,0.62,-103
825134,3G,Upload,1.92,-83
825135,3G,Upload,1.99,-85
825136,3G,Upload,1.35,-99
825137,3G,Upload,1.39,-105
825254,3G,Download,0.81,-113
825255,3G,Download,0.04,-113
825261,3G,Download,0.21,-85
825277,3G,Download,1.02,-113
825279,3G,Download,1.09,-93
825280,3G,Download,5.65,-87
825281,3G,Download,8.94,-55
825282,3G,Download,0.0,-81
825283,3G,Download,1.48,-67
825284,3G,Download,11.95,-65
825285,3G,Download,8.13,-69
825291,3G,Download,3.73,-71
825292,3G,Download,1.9,-87
825293,3G,Download,0.36,-87
825294,3G,Download,3.7,-83
825295,3G,Download,0.78,-83
825296,3G,Download,1.56,-83
825297,3G,Download,2.98,-71
825298,3G,Download,4.6,-81
825299,3G,Download,0.0,-75
825300,3G,Download,2.23,-73
825301,3G,Download,3.38,-73
825302,3G,Download,0.02,-69
825303,3G,Download,0.02,-67
825304,3G,Download,0.06,-61
825305,3G,Download,0.39,-63
825306,3G,Download,0.69,-75
825307,3G,Download,0.5,-75
825308,3G,Download,0.12,-75
825309,3G,Download,0.1,-75
825310,3G,Download,4.86,-67
825340,3G,Download,2.44,-67
825345,3G,Download,0.41,-75
825346,3G,Download,3.85,-81
825347,3G,Download,3.84,-83
825348,3G,Download,0.31,-73
825349,3G,Download,0.01,-75
825350,3G,Download,0.19,-73
825360,3G,Download,0.5,-69
825379,3G,Upload,0.13,-105
825380,3G,Upload,0.31,-103
825386,3G,Upload,3.06,-87
825402,3G,Upload,0.11,na
825404,3G,Upload,2.34,-93
825405,3G,Upload,1.76,-81
825406,3G,Upload,3.72,-73
825407,3G,Upload,4.04,-73
825408,3G,Upload,0.01,-69
825409,3G,Upload,3.89,-65
825410,3G,Upload,4.16,-69
825416,3G,Upload,2.5,-75
825417,3G,Upload,1.8,-89
825418,3G,Upload,0.46,-85
825419,3G,Upload,1.6,-83
825420,3G,Upload,1.82,-83
825421,3G,Upload,2.19,-87
825422,3G,Upload,2.71,-75
825423,3G,Upload,2.08,-81
825424,3G,Upload,2.13,-73
825425,3G,Upload,1.52,-75
825426,3G,Upload,2.31,-73
825427,3G,Upload,0.37,-65
825428,3G,Upload,0.8,-67
825429,3G,Upload,0.78,-69
825430,3G,Upload,2.01,-75
825431,3G,Upload,0.04,-75
825432,3G,Upload,0.15,-69
825433,3G,Upload,1.06,-87
825434,3G,Upload,3.0,-67
825435,3G,Upload,2.94,-59
825465,3G,Upload,1.59,-75
825470,3G,Upload,2.22,-69
825471,3G,Upload,1.3,-85
825472,3G,Upload,1.18,-89
825473,3G,Upload,0.15,-93
825474,3G,Upload,2.48,-73
825475,3G,Upload,1.13,-71
825485,3G,Upload,1.6,-71
825510,3G,Download,4.52,-77
825511,3G,Download,2.45,-75
825512,3G,Download,0.07,-77
825513,3G,Download,1.13,-71
825514,3G,Download,3.71,-71
825515,3G,Download,0.31,-63
825519,3G,Download,1.36,-85
825521,3G,Download,0.18,-85
825530,3G,Download,3.36,-85
825541,3G,Upload,2.23,-85
825542,3G,Upload,2.69,-67
825543,3G,Upload,0.67,-85
825544,3G,Upload,0.9,-85
825545,3G,Upload,2.75,-73
825546,3G,Upload,0.98,-85
825550,3G,Upload,1.15,-85
825552,3G,Upload,0.22,-85
825553,3G,Upload,0.01,-85
825561,3G,Upload,1.68,-85
825604,3G,Download,1.78,-87
825606,3G,Download,1.81,-77
825611,3G,Upload,1.32,-87
825613,3G,Upload,1.52,-89
825710,3G,Download,2.81,-101
825711,3G,Download,0.57,-99
825712,3G,Download,4.76,-95
825713,3G,Upload,0.93,-95
825714,3G,Upload,0.0,-113
825715,3G,Upload,0.57,-95
825784,3G,Upload,0.4,-71
825922,3G,Download,0.09,-113
825923,3G,Upload,0.58,-113
825948,3G,Download,0.45,-103
825950,3G,Download,3.13,-107
825951,3G,Download,0.05,-91
825959,3G,Upload,0.45,-103
825961,3G,Upload,0.61,-101
825962,3G,Upload,0.26,-99
825987,3G,Download,3.68,-75
825988,3G,Download,2.11,-87
825995,3G,Download,0.0,-79
825996,3G,Download,1.92,-97
825997,3G,Download,0.73,-97
825998,3G,Download,0.56,-97
826005,3G,Download,2.18,-77
826007,3G,Download,1.91,-59
826008,3G,Download,1.3,-59
826009,3G,Download,3.28,-59
826023,3G,Upload,0.5,-75
826024,3G,Upload,0.67,-87
826031,3G,Upload,0.22,-79
826032,3G,Upload,0.17,-97
826033,3G,Upload,0.06,-95
826034,3G,Upload,0.01,-99
826041,3G,Upload,0.18,-79
826043,3G,Upload,0.9,-61
826044,3G,Upload,0.59,-59
826045,3G,Upload,0.71,-59
826164,3G,Download,1.53,-79
826165,3G,Download,0.3,-99
826166,3G,Download,5.65,-57
826167,3G,Download,8.56,-85
826168,3G,Upload,2.62,-57
826169,3G,Upload,2.12,-85
826201,3G,Upload,1.48,-81
826202,3G,Upload,2.33,-75
826219,3G,Download,0.13,-83
826220,3G,Download,0.04,-87
826224,3G,Upload,1.64,-81
826225,3G,Upload,0.6,-87
826297,3G,Download,1.58,-85
826298,3G,Download,2.15,-93
826299,3G,Upload,0.03,-99
826300,3G,Upload,0.0,-93
826308,3G,Download,3.38,-99
826309,3G,Upload,0.32,-99
826334,3G,Download,2.2,-111
826336,3G,Download,2.08,-65
826337,3G,Download,2.97,-71
826338,3G,Download,1.04,-61
826341,3G,Upload,0.67,-111
826343,3G,Upload,3.43,-65
826344,3G,Upload,2.5,-71
826345,3G,Upload,0.05,-61
826434,3G,Download,3.01,-109
826438,3G,Upload,3.0,-110
826663,3G,Download,10.1,-103
826664,3G,Download,1.1,-81
826665,3G,Download,1.12,-81
826667,3G,Upload,1.63,-91
826668,3G,Upload,0.02,-81
826669,3G,Upload,0.01,-81
826685,3G,Download,0.53,-103
826687,3G,Upload,0.29,-103
826722,3G,Download,0.9,-85
826723,3G,Download,2.02,-85
826724,3G,Upload,1.32,-85
826725,3G,Upload,1.58,-85
826734,3G,Download,8.33,-99
826735,3G,Download,1.34,-95
826736,3G,Download,6.42,-91
826737,3G,Download,3.98,-89
826738,3G,Upload,4.06,-89
826739,3G,Upload,3.93,-95
826740,3G,Upload,3.4,-81
826741,3G,Upload,4.0,-89
826852,3G,Download,0.41,-81
826853,3G,Upload,0.08,-83
826862,3G,Download,0.55,-91
826863,3G,Upload,0.35,-91
826902,3G,Download,0.83,-77
826903,3G,Download,0.56,-81
826904,3G,Download,1.52,-77
826905,3G,Download,1.15,-83
826906,3G,Download,0.19,-85
826907,3G,Download,1.13,-85
826908,3G,Upload,1.58,-77
826909,3G,Upload,1.5,-81
826910,3G,Upload,0.46,-77
826911,3G,Upload,0.0,-83
826912,3G,Upload,1.31,-85
826913,3G,Upload,1.55,-85
826935,3G,Download,0.27,-87
826936,3G,Download,0.77,-79
826937,3G,Upload,1.43,-77
826938,3G,Upload,1.17,-87
826967,3G,Download,1.01,-95
826968,3G,Download,1.03,-95
826969,3G,Download,3.28,-99
826970,3G,Download,0.33,-99
826971,3G,Download,1.54,-79
826972,3G,Download,2.39,-65
826973,3G,Download,1.88,-75
826974,3G,Upload,0.75,-101
826975,3G,Upload,0.73,-97
826976,3G,Upload,0.19,-97
826977,3G,Upload,0.17,-97
826978,3G,Upload,0.85,-77
826979,3G,Upload,0.17,-61
826980,3G,Upload,3.0,-75
826993,3G,Download,0.41,-91
826998,3G,Upload,0.34,-83
827010,3G,Download,1.74,-87
827011,3G,Download,1.5,-95
827012,3G,Download,0.68,-69
827013,3G,Download,2.56,na
827014,3G,Download,3.71,na
827015,3G,Download,1.13,-71
827016,3G,Upload,1.06,-97
827017,3G,Upload,0.97,-93
827018,3G,Upload,0.38,-69
827019,3G,Upload,0.36,na
827020,3G,Upload,0.81,na
827021,3G,Upload,0.04,-65
827087,3G,Download,8.54,na
827088,3G,Download,9.34,na
827089,3G,Download,6.04,-55
827090,3G,Download,10.56,-61
827091,3G,Download,10.26,-61
827092,3G,Download,11.52,-57
827093,3G,Download,10.71,-63
827094,3G,Download,10.27,-57
827095,3G,Download,7.26,-63
827096,3G,Download,7.1,-61
827097,3G,Download,4.11,-63
827099,3G,Download,6.42,-57
827100,3G,Download,9.72,-63
827101,3G,Download,6.44,-59
827102,3G,Download,7.15,na
827103,3G,Download,5.69,-59
827104,3G,Download,9.15,-57
827105,3G,Download,4.72,-59
827106,3G,Download,3.79,-63
827107,3G,Upload,3.06,na
827108,3G,Upload,0.94,na
827109,3G,Upload,2.01,na
827110,3G,Upload,3.56,-57
827111,3G,Upload,3.18,-59
827112,3G,Upload,3.91,-57
827113,3G,Upload,4.08,-59
827114,3G,Upload,2.67,-57
827115,3G,Upload,3.6,-61
827116,3G,Upload,3.74,-63
827117,3G,Upload,2.17,-63
827119,3G,Upload,2.78,na
827120,3G,Upload,4.49,na
827121,3G,Upload,2.66,-59
827122,3G,Upload,0.76,-55
827123,3G,Upload,1.83,-63
827124,3G,Upload,3.57,-57
827125,3G,Upload,0.03,-61
827126,3G,Upload,1.44,-55
827146,3G,Download,0.44,-77
827147,3G,Upload,3.28,-77
827180,3G,Download,6.5,-63
827181,3G,Upload,2.13,-61
827249,3G,Upload,0.04,-77
827254,3G,Upload,0.03,-95
827256,3G,Upload,0.54,-85
827257,3G,Upload,0.38,-87
827262,3G,Upload,0.22,-91
827268,3G,Upload,0.91,-93
827270,3G,Upload,1.44,-69
827271,3G,Upload,1.52,-65
827351,3G,Download,7.21,-81
827352,3G,Download,6.97,-79
827353,3G,Download,4.55,-85
827354,3G,Upload,0.58,-81
827355,3G,Upload,0.56,-85
827356,3G,Upload,1.53,-93
827367,3G,Download,3.97,-85
827368,3G,Download,10.51,-85
827369,3G,Download,2.25,-77
827370,3G,Upload,2.21,-83
827371,3G,Upload,4.23,-89
827372,3G,Upload,2.19,-87
827490,3G,Download,1.06,-65
827491,3G,Download,0.01,-71
827496,3G,Upload,3.11,-65
827497,3G,Upload,0.51,-65
827655,3G,Download,0.27,-101
827656,3G,Upload,0.01,-111
827657,3G,Download,4.11,-73
827658,3G,Upload,3.02,-73
828121,3G,Download,4.52,-79
828122,3G,Upload,3.96,-79
828129,3G,Download,6.92,na
828130,3G,Upload,3.09,na
